City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Camalu,MX,2021-10-14 20:38:17,30.85,-116.0667,78.42,39,0,10.94
152,Bada,RU,2021-10-14 20:43:58,51.392,109.8717,16.02,81,29,12.01
153,Asau,RO,2021-10-14 20:35:39,46.4333,26.4,45.75,96,100,1.5
154,Bowen,AU,2021-10-14 20:43:59,-20.0167,148.2333,71.82,78,83,10.33
155,San Cristobal,VE,2021-10-14 20:39:26,7.7669,-72.225,80.78,59,100,2.59
156,Kodiak,US,2021-10-14 20:35:47,57.79,-152.4072,44.11,53,40,10.36
157,Mandalgovi,MN,2021-10-14 20:37:13,45.7625,106.2708,25.99,54,47,8.84
158,Lufilufi,WS,2021-10-14 20:44:00,-13.8745,-171.5986,82.18,71,59,5.95
159,Portland,US,2021-10-14 20:37:40,45.5234,-122.6762,57.27,92,90,1.99
160,Itambacuri,BR,2021-10-14 20:44:01,-18.0311,-41.685,73.63,88,97,4.38
161,Arraial Do Cabo,BR,2021-10-14 20:44:01,-22.9661,-42.0278,75.16,83,0,16.11
162,Georgetown,MY,2021-10-14 20:44:02,5.4112,100.3354,82.33,88,20,3.0
163,Steamboat Springs,US,2021-10-14 20:41:17,40.485,-106.8317,39.94,70,90,4.61
164,Lagoa,PT,2021-10-14 20:44:03,39.05,-27.9833,70.88,91,100,22.01
165,Port Alfred,ZA,2021-10-14 20:44:04,-33.5906,26.891,63.01,73,100,9.28
166,Eureka,US,2021-10-14 20:40:01,40.8021,-124.1637,70.66,62,2,4.0
167,Svelgen,NO,2021-10-14 20:44:05,61.7685,5.2955,48.13,87,100,14.92
168,Kaitangata,NZ,2021-10-14 20:44:05,-46.2817,169.8464,48.97,65,100,7.07
169,Marovoay,MG,2021-10-14 20:44:06,-16.1,46.6333,78.94,69,18,2.68
170,Moussoro,TD,2021-10-14 20:44:07,13.6408,16.4901,78.15,69,100,7.02
171,Tomatlan,MX,2021-10-14 20:35:28,19.9333,-105.25,88.41,57,6,7.23
172,Hibbing,US,2021-10-14 20:44:07,47.4272,-92.9377,46.58,76,90,10.36
173,Mecca,SA,2021-10-14 20:35:27,21.4267,39.8261,83.43,45,0,2.28
174,Komono,JP,2021-10-14 20:44:08,35.0,136.5167,63.41,80,0,3.67
175,Izhma,RU,2021-10-14 20:44:09,65.0083,53.9113,42.03,97,100,4.59
176,Samarai,PG,2021-10-14 20:44:09,-10.6167,150.6667,80.1,84,100,5.3
177,Togur,RU,2021-10-14 20:44:10,58.3631,82.8265,33.67,91,96,6.13
178,Manta,EC,2021-10-14 20:44:11,-0.95,-80.7333,78.58,78,75,9.22
179,Den Helder,NL,2021-10-14 20:44:12,52.9599,4.7593,59.02,71,90,20.0
180,Pietarsaari,FI,2021-10-14 20:44:13,63.65,22.6833,45.9,96,100,1.99
181,Marsh Harbour,BS,2021-10-14 20:39:30,26.5412,-77.0636,81.61,70,5,9.15
182,Port Lincoln,AU,2021-10-14 20:36:47,-34.7333,135.8667,55.85,76,16,23.98
183,Beringovskiy,RU,2021-10-14 20:44:14,63.05,179.3167,18.9,80,30,9.89
184,Zabaykalsk,RU,2021-10-14 20:44:14,49.6333,117.3167,19.78,90,65,23.85
185,Buraydah,SA,2021-10-14 20:30:04,26.326,43.975,82.85,17,0,7.54
186,Cabo San Lucas,MX,2021-10-14 20:32:46,22.8909,-109.9124,90.61,61,20,18.41
187,Hami,CN,2021-10-14 20:44:16,42.8,93.45,46.24,33,0,3.09
188,Dwarka,IN,2021-10-14 20:37:33,22.2394,68.9678,81.57,68,0,12.37
189,Severo-Kurilsk,RU,2021-10-14 20:37:23,50.6789,156.125,45.1,94,100,8.68
