City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,Alta Floresta,BR,-9.8756,-56.0861,91.13,44,95,2.21,overcast clouds
300,Young,UY,-32.6833,-57.6333,82.22,44,16,6.08,few clouds
301,Ushtobe,KZ,45.2514,77.9838,51.33,71,100,15.17,light rain
302,Port Hardy,CA,50.6996,-127.4199,50.74,90,100,35.41,moderate rain
303,Anadyr,RU,64.75,177.4833,14.04,94,95,7.96,overcast clouds
304,Zhigansk,RU,66.7697,123.3711,29.19,82,61,20.29,broken clouds
305,Ban Nahin,LA,18.2418,104.2122,73.42,98,85,4.18,light rain
306,Meoqui,MX,28.2833,-105.4833,82.94,25,1,1.21,clear sky
307,Mumford,GH,5.2618,-0.759,78.94,87,100,10.54,overcast clouds
308,Ipubi,BR,-7.6519,-40.1489,86.2,43,100,4.5,overcast clouds
309,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,16.39,67,0,8.95,clear sky
310,Chateaubelair,VC,13.2833,-61.25,86.61,74,75,13.8,haze
311,Lichinga,MZ,-13.3128,35.2406,62.69,88,20,8.05,few clouds
312,Zyryanka,RU,65.75,150.85,-5.17,89,25,6.4,scattered clouds
313,Sungaipenuh,ID,-2.0833,101.3833,64.06,96,77,1.92,moderate rain
314,Clyde River,CA,70.4692,-68.5914,21.56,84,99,3.31,overcast clouds
315,Waipawa,NZ,-41.4122,175.5153,50.04,73,100,5.26,overcast clouds
316,Mount Isa,AU,-20.7333,139.5,67.77,73,0,0.0,clear sky
317,Iskateley,RU,67.6803,53.1512,28.6,94,100,14.81,light snow
318,Dawei,MM,14.0833,98.2,75.2,93,100,2.71,overcast clouds
319,Kokopo,PG,-4.352,152.2633,76.33,85,61,3.47,broken clouds
320,Tokonou,GN,9.65,-9.7833,72.52,91,100,3.89,light rain
321,Constitucion,CL,-35.3333,-72.4167,60.85,71,100,18.23,overcast clouds
322,Songea,TZ,-10.6833,35.65,64.47,78,15,3.06,few clouds
323,La Ronge,CA,55.1001,-105.2842,38.32,46,13,9.71,few clouds
324,Bulgan,MN,48.8125,103.5347,32.27,50,14,2.57,few clouds
325,Sabang,ID,5.8933,95.3214,80.53,78,100,4.76,overcast clouds
326,Mackay,AU,-21.15,149.2,77.68,86,72,12.68,broken clouds
327,Bengkulu,ID,-3.8004,102.2655,75.02,92,94,3.4,overcast clouds
328,Cacoal,BR,-11.4386,-61.4472,91.36,48,83,5.59,broken clouds
329,Rudkobing,DK,54.9364,10.7102,46.38,65,26,30.76,scattered clouds
330,Esil,KZ,51.9556,66.4042,33.1,68,8,11.72,clear sky
331,Provideniya,RU,64.3833,-173.3,20.55,86,25,6.71,scattered clouds
332,Kijang,KR,35.2442,129.2139,52.99,83,5,6.51,clear sky
333,Jiuquan,CN,39.7432,98.5174,42.55,24,0,1.72,clear sky
334,Matara,LK,5.9485,80.5353,78.39,88,53,7.09,broken clouds
335,Mnogovershinnyy,RU,53.9353,139.9242,22.87,96,90,4.68,overcast clouds
336,Ugoofaaru,MV,5.6667,73.0,81.55,79,37,9.73,scattered clouds
337,Charters Towers,AU,-20.1,146.2667,71.13,91,6,6.49,clear sky
338,Nikolskoye,RU,59.7035,30.7861,54.88,89,100,13.58,moderate rain
339,Bisert,RU,56.8617,59.0523,30.43,94,100,11.61,snow
340,Talnakh,RU,69.4865,88.3972,24.33,97,100,3.44,light snow
341,Victoria,HK,22.2855,114.1577,67.32,84,100,4.0,overcast clouds
342,Meleuz,RU,52.9667,55.9167,33.53,97,100,19.15,snow
343,Saint-Augustin,CA,51.226,-58.6502,45.41,53,84,15.88,broken clouds
344,Morristown,US,36.214,-83.2949,72.21,71,90,4.61,overcast clouds
